college_name,location,year,specialization,state,owned
"National Museum Institute of the History of Art, Conservation and Museology ",New Delhi ,1983,Museology ,Delhi ,D
National Institute of Educational Planning and Administration ,New Delhi ,1962,Education ,Delhi ,D
TERI School of Advanced Studies ,New Delhi ,1998,Applied Science ,Delhi ,D
Gujarat Vidyapith ,Ahmedabad ,1920,Multidisciplinary ,Gujarat ,D
Sumandeep Vidyapeeth ,Waghodia ,1999,Medical Sciences ,Gujarat ,D
Lingaya's Vidyapeeth ,Faridabad ,1998,"Technology, Management ",Haryana ,D
Maharishi Markandeshwar (Deemed to be University) ,Ambala ,1993,Multidisciplinary ,Haryana ,D
Manav Rachna International Institute of Research and Studies ,Faridabad ,1993,Technology ,Haryana ,D
National Brain Research Centre ,Manesar ,1997,Neuroscience ,Haryana ,D
National Dairy Research Institute ,Karnal ,1923,Dairy Research ,Haryana ,D
"Birla Institute of Technology, Mesra ",Ranchi ,1955,Technology ,Jharkhand ,D
BLDE (Deemed to be University) ,Bijapur ,2008,Medical Sciences ,Karnataka ,D
Christ (Deemed to be University) ,Bangalore ,1969,Multidisciplinary ,Karnataka ,D
Indian Institute of Science ,Bangalore ,1909,Science ,Karnataka ,D
"International Institute of Information Technology, Bangalore ",Bangalore ,1999,Technology ,Karnataka ,D
JSS Academy of Higher Education & Research ,Mysore ,2008,Medical Sciences ,Karnataka ,D
Jain (Deemed to be University) ,Bangalore ,1990,Multidisciplinary ,Karnataka ,D
Jawaharlal Nehru Centre for Advanced Scientific Research ,Bangalore ,1989,Science ,Karnataka ,D
KLE Academy of Higher Education & Research ,Belgaum ,2006,Multidisciplinary ,Karnataka ,D
Manipal Academy of Higher Education ,Manipal ,1953,Multidisciplinary ,Karnataka ,D
NITTE (Deemed to be University) ,Mangalore ,2008,Medical Sciences ,Karnataka ,D
Sri Devaraj Urs Academy of Higher Education and Research ,Kolar ,1986,Medical Sciences ,Karnataka ,D
Sri Siddhartha Academy of Higher Education ,Tumkur ,2008,Medical Sciences ,Karnataka ,D
Swami Vivekananda Yoga Anusandhana Samsthana ,Bangalore ,2002,Yoga ,Karnataka ,D
Yenepoya (Deemed to be University) ,Mangalore ,1991,Medical Sciences ,Karnataka ,D
Indian Institute of Space Science and Technology ,Thiruvananthapuram ,2007,Space Science ,Kerala ,D
Kerala Kalamandalam ,Thrissur ,1930,Performing Arts ,Kerala ,D
Lakshmibai National Institute of Physical Education ,Gwalior ,1957,Physical Education ,Madhya Pradesh ,D
Bharati Vidyapeeth ,Pune ,1964,Multidisciplinary ,Maharashtra ,D
Central Institute of Fisheries Education ,Mumbai ,1961,Fisheries Science ,Maharashtra ,D
D. Y. Patil Education Society ,Kolhapur ,1987,Medical Sciences ,Maharashtra ,D
Datta Meghe Institute of Medical Sciences ,Wardha ,1950,Medical Sciences ,Maharashtra ,D
Deccan College Post-Graduate and Research Institute ,Pune ,1821,Archeology and Linguistics ,Maharashtra ,D
Defence Institute of Advanced Technology ,Pune ,1952,Technology ,Maharashtra ,D
Dr. D. Y. Patil Vidyapeeth ,Pune ,1996,Medical Sciences ,Maharashtra ,D
Gokhale Institute of Politics and Economics ,Pune ,1930,Economics ,Maharashtra ,D
Homi Bhabha National Institute ,Mumbai ,2005,Science ,Maharashtra ,D
Indira Gandhi Institute of Development Research ,Mumbai ,1987,Economics ,Maharashtra ,D
Institute of Chemical Technology ,Mumbai ,1933,Technology ,Maharashtra ,D
International Institute for Population Sciences ,Mumbai ,1956,Population Science ,Maharashtra ,D
Krishna Institute of Medical Sciences ,Satara ,1982,Medical Sciences ,Maharashtra ,D
MGM Institute of Health Sciences ,Navi Mumbai ,1982,Medical Sciences ,Maharashtra ,D
Narsee Monjee Institute of Management Studies ,Mumbai ,1981,Multidisciplinary ,Maharashtra ,D
Pravara Institute of Medical Sciences ,Ahmednagar ,1976,Medical Sciences ,Maharashtra ,D
Symbiosis International ,Pune ,1971,Multidisciplinary ,Maharashtra ,D
Tata Institute of Fundamental Research ,Mumbai ,1945,Science ,Maharashtra ,D
Tata Institute of Social Sciences ,Mumbai ,1936,Social Science ,Maharashtra ,D
Tilak Maharashtra Vidyapeeth ,Pune ,1921,Multidisciplinary ,Maharashtra ,D
Kalinga Institute of Industrial Technology ,Bhubaneswar ,2004,Multidisciplinary ,Odisha ,D
Siksha 'O' Anusandhan ,Bhubaneswar ,2007,Multidisciplinary ,Odisha ,D
Sri Balaji Vidyapeeth ,Pondicherry ,2001,Medical Sciences ,Puducherry ,D
Sant Longowal Institute of Engineering and Technology ,Sangrur ,1989,Technology ,Punjab ,D
Thapar Institute of Engineering and Technology ,Patiala ,1956,Technology ,Punjab ,D
Banasthali Vidyapith ,Tonk ,1935,Multidisciplinary ,Rajasthan ,D
Birla Institute of Technology and Science ,Pilani ,1964,Technology ,Rajasthan ,D
IIS (Deemed to be University) ,Jaipur ,1995,Multidisciplinary ,Rajasthan ,D
Institute of Advanced Studies in Education ,Churu ,1950,Education ,Rajasthan ,D
Jain Vishva Bharati Institute ,Ladnun ,1991,Jain Studies ,Rajasthan ,D
Janardan Rai Nagar Rajasthan Vidyapeeth ,Udaipur ,1937,Multidisciplinary ,Rajasthan ,D
LNM Institute of Information Technology ,Jaipur ,2003,Technology ,Rajasthan ,D
Academy of Maritime Education and Training ,Chennai ,1993,Marine Science ,Tamil Nadu ,D
Amrita Vishwa Vidyapeetham ,Coimbatore ,1994,Multidisciplinary ,Tamil Nadu ,D
Avinashilingam Institute for Home Science and Higher Education for Women ,Coimbatore ,1957,Home Science ,Tamil Nadu ,D
B.S. Abdur Rahman Crescent Institute of Science and Technology ,Chennai ,1984,Technology ,Tamil Nadu ,D
Bharath Institute of Higher Education and Research ,Chennai ,1984,Multidisciplinary ,Tamil Nadu ,D
Chennai Mathematical Institute ,Siruseri ,1989,Mathematics ,Tamil Nadu ,D
Chettinad Academy of Research and Education ,Chengalpattu ,2005,Medical Sciences ,Tamil Nadu ,D
Dr. M.G.R. Educational and Research Institute ,Chennai ,1988,Multidisciplinary ,Tamil Nadu ,D
Gandhigram Rural Institute ,Dindigul ,1956,Rural Eduaction ,Tamil Nadu ,D
Hindustan Institute of Technology and Science ,Chennai ,1985,Technology ,Tamil Nadu ,D
Kalasalingam Academy of Research and Education ,Krishnankoil ,1984,Multidisciplinary ,Tamil Nadu ,D
Karpagam Academy of Higher Education ,Coimbatore ,2008,Multidisciplinary ,Tamil Nadu ,D
Karunya Institute of Technology and Sciences ,Coimbatore ,1986,Technology ,Tamil Nadu ,D
Meenakshi Academy of Higher Education and Research ,Chennai ,2001,Medical Sciences ,Tamil Nadu ,D
Noorul Islam Centre for Higher Education ,Kumarakovil ,1989,Multidisciplinary ,Tamil Nadu ,D
Periyar Maniammai Institute of Science & Technology ,Vallam ,1988,Technology ,Tamil Nadu ,D
Ponnaiyah Ramajayam Institute of Science and Technology ,Thanjavur ,1985,Technology ,Tamil Nadu ,D
Sathyabama Institute of Science and Technology ,Chennai ,1987,Technology ,Tamil Nadu ,D
Saveetha Institute of Medical And Technical Sciences ,Chennai ,1986,Multidisciplinary ,Tamil Nadu ,D
"Shanmugha Arts, Science, Technology & Research Academy ",Thanjavur ,1984,Multidisciplinary ,Tamil Nadu ,D
Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya ,Kanchipuram ,1993,Multidisciplinary ,Tamil Nadu ,D
Sri Ramachandra Medical College and Research Institute ,Chennai ,1985,Medical Sciences ,Tamil Nadu ,D
SRM Institute of Science and Technology ,Kanchipuram ,1985,Technology ,Tamil Nadu ,D
St. Peter's Institute of Higher Education and Research ,Chennai ,1992,Technology ,Tamil Nadu ,D
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology ,Chennai ,2008,Technology ,Tamil Nadu ,D
"Vels Institute of Science, Technology & Advanced Studies ",Chennai ,1992,Technology ,Tamil Nadu ,D
